4973	3	19659
22751	5	1900
18522	5	16170
2899	7	5066
13714	5	1628
35348	5	1132
63	3	20435
33236	3	14650
29352	3	26818
10456	5	13801
24192	3	30221
10264	2	27792
10569	3	18564
10825	3	20362
24185	3	5276
12768	9	17850
32182	9	32181
16709	5	21838
7264	3	14998
40513	3	4278
31231	5	38554
19779	5	30724
3248	5	16933
14078	5	2841
12234	3	15118
32175	3	21361
16229	3	25704
23989	5	13164
2124	5	16315
6160	3	3487
2482	9	32614
5670	5	22914
9496	5	22532
3875	3	34489
13925	5	32513
31805	3	38173
35896	4	5476
35598	5	9353
32013	9	7289
21115	3	39665
40427	3	21090
12762	1	4585
18132	3	38079
21913	3	21335
24533	3	22210
9691	5	11664
24855	3	12109
6998	5	26127
19958	5	35840
11990	5	24954
19250	3	10586
23201	5	24743
18217	0	38203
18091	3	8141
24106	5	37695
18421	5	5094
4551	1	3419
32991	5	19798
25721	5	10868
15751	3	32365
17527	7	33300
17820	5	29098
37783	3	38225
17899	3	11211
649	4	9998
29236	3	27354
23767	10	15238
10728	2	21737
19487	1	39593
29602	3	29658
29205	5	22474
27153	5	34828
36262	5	7503
32992	3	17122
35845	5	35472
10533	3	22775
1334	3	11664
13185	5	9584
31801	3	28322
30078	5	24894
1212	3	8485
39123	5	13566
19774	5	28995
4799	5	17712
20740	3	4574
37939	5	6175
31422	4	6882
17992	5	14228
3471	5	18506
6333	3	39096
7363	5	23408
36025	9	12185
31687	3	5804
25666	5	3781
9937	5	9364
12395	3	15123
2846	3	25174
8680	1	2262
18024	5	21906
1762	3	285
11965	2	16984
12961	5	2367
2637	3	23672
37100	3	22972
34591	5	25895
28222	5	40182
13199	4	39415
38952	3	26457
7498	5	703
37088	3	10101
28796	3	38310
16917	2	13654
3687	9	34061
12284	3	22202
20247	3	13145
13435	3	20603
11475	4	7756
1701	5	38634
5746	3	4278
27068	3	12892
38788	3	10490
16930	4	26154
18724	3	17801
17639	9	36834
38	5	7061
30423	3	17049
26606	3	7785
8049	5	451
25674	5	19055
27150	7	33582
22294	9	12849
3335	5	39144
36258	3	3243
14491	3	1393
18020	3	19525
29098	3	14722
2729	5	25706
10286	1	9237
24683	5	11827
19488	5	28905
2126	3	3929
8208	3	27538
17923	3	26417
32318	3	4364
10157	4	5561
21988	3	18418
1072	4	4325
979	3	22632
39458	5	15306
40172	3	16345
25294	3	519
10012	3	18728
13906	3	16245
370	5	25663
29562	3	29635
4438	5	23721
16353	3	40146
19444	3	13949
26049	5	26289
37143	3	8318
31226	3	22589
11544	5	14149
35400	5	23314
15101	3	14145
13197	5	5860
11313	3	7665
6829	5	9082
3512	5	6287
11434	5	9487
38162	3	17139
33844	5	23408
37851	3	3440
36421	3	18219
27951	3	29662
16114	5	16229
35528	3	9923
29014	5	13185
6145	3	8852
19286	3	7124
39065	5	23942
28156	9	8600
24248	3	4776
36741	5	11728
18617	3	7637
34405	3	8172
26638	3	19761
39397	3	36239
1943	5	22707
38623	5	13497
18749	5	27776
17855	5	35346
25259	5	32428
37935	3	5334
35040	3	20999
2628	5	17169
37064	5	40363
9520	3	5057
21284	3	40559
37011	5	18976
17178	2	17004
25574	5	14803
39780	3	39246
1205	5	16391
22046	5	5114
