08766988	_has_part	08770718
13448334	_has_part	00042541
11868814	_has_part	07713395
03623556	_has_part	03974215
09201301	_has_part	09192708
14124423	_has_part	14334511
12629666	_has_part	07763792
13083586	_has_part	05511286
11677259	_synset_domain_topic_of	06066555
13861050	_synset_domain_topic_of	06000644
07194293	_synset_domain_topic_of	06148148
13590327	_synset_domain_topic_of	06090869
02241621	_synset_domain_topic_of	00766234
07465448	_synset_domain_topic_of	00523513
08039601	_synset_domain_topic_of	00759694
00573671	_synset_domain_topic_of	00903559
09128536	_instance_hypernym	08524735
10906048	_instance_hypernym	10515194
11376742	_instance_hypernym	09615807
11159698	_instance_hypernym	10599806
09037133	_instance_hypernym	08544813
11347080	_instance_hypernym	10515194
09088396	_instance_hypernym	08524735
08011266	_instance_hypernym	08392137
02666882	_hypernym	02666239
02586865	_hypernym	01432517
01152973	_hypernym	00237078
05644922	_hypernym	00023271
12836862	_hypernym	11669921
00368592	_hypernym	00367976
00054285	_hypernym	00146138
02196896	_hypernym	02196344
07966140	_member_meronym	08378819
11911591	_member_meronym	11985586
01780919	_member_meronym	01781071
02429123	_member_meronym	02429276
01936219	_member_meronym	01936671
01845627	_member_meronym	01852544
12820434	_member_meronym	12821048
12378546	_member_meronym	12378963
00086077	_derivationally_related_form	01937909
02710402	_derivationally_related_form	00146572
06214744	_derivationally_related_form	02874876
01718867	_derivationally_related_form	05557839
07390400	_derivationally_related_form	00309582
07506569	_derivationally_related_form	02547225
10759331	_derivationally_related_form	02424984
02472693	_derivationally_related_form	01578254
00884778	_also_see	00873603
02341266	_also_see	00227507
01212230	_also_see	01392237
02460502	_also_see	02179279
02291843	_also_see	00583990
02383831	_also_see	00548781
01652139	_also_see	02663340
01646941	_also_see	02100709
02561332	_verb_group	01158872
01323958	_verb_group	01325536
01351170	_verb_group	01995211
00315330	_verb_group	00315020
00334186	_verb_group	00334996
00038849	_verb_group	00045639
02150948	_verb_group	02129289
00931852	_verb_group	00932324
07075172	_member_of_domain_usage	00854393
06845599	_member_of_domain_usage	04443918
06845599	_member_of_domain_usage	04424936
06845599	_member_of_domain_usage	04520618
06295235	_member_of_domain_usage	00040962
07105475	_member_of_domain_usage	00064370
06845599	_member_of_domain_usage	02706373
06718862	_member_of_domain_usage	09638009
09044862	_member_of_domain_region	03720665
08860123	_member_of_domain_region	01242354
08860123	_member_of_domain_region	10448322
08860123	_member_of_domain_region	15138401
08860123	_member_of_domain_region	03380461
08860123	_member_of_domain_region	07795598
08860123	_member_of_domain_region	06477003
08860123	_member_of_domain_region	10641301
01160031	_similar_to	01161635
00319534	_similar_to	00320536
01811172	_similar_to	01809655
00962634	_similar_to	00963283
02515214	_similar_to	02513740
02515341	_similar_to	02517169
00064479	_similar_to	00065184
02513740	_similar_to	02515214
